Time (s),RPM
12.17,149.43
12.18,153.22
12.19,149.43
12.2,153.22
12.21,149.43
12.22,151.32
12.23,151.32
12.24,151.32
12.25,151.32
12.26,151.32
12.27,149.43
12.28,153.22
12.29,149.43
12.3,153.22
12.31,149.43
12.32,151.32
12.33,151.32
12.34,151.32
12.35,151.32
12.36,151.32
12.37,151.32
12.38,151.32
12.39,149.43
12.4,151.32
12.41,151.32
12.42,151.32
12.43,151.32
12.44,151.32
12.45,151.32
12.46,151.32
12.47,151.32
12.48,151.32
12.49,149.43
12.5,153.22
12.51,149.43
12.52,153.22
12.53,149.43
12.54,151.32
12.55,151.32
12.56,151.32
12.57,151.32
12.58,151.32
12.59,151.32
12.6,151.32
12.61,151.32
12.62,151.32
12.63,151.32
12.64,151.32
12.65,151.32
12.66,151.32
12.67,151.32
12.68,151.32
12.69,151.32
12.7,151.32
12.71,149.43
12.72,153.22
12.73,149.43
12.74,153.22
12.75,149.43
12.76,153.22
12.77,149.43
12.78,153.22
12.79,149.43
12.8,151.32
12.81,151.32
12.82,151.32
12.83,149.43
12.84,153.22
12.85,149.43
12.86,151.32
12.87,151.32
12.88,151.32
12.89,151.32
12.9,151.32
12.91,149.43
12.92,153.22
12.93,149.43
12.94,151.32
12.95,151.32
12.96,151.32
12.97,151.32
12.98,151.32
12.99,151.32
13,151.32
13.01,151.32
13.02,151.32
13.03,149.43
13.04,153.22
13.05,149.43
13.06,153.22
13.07,149.43
13.08,151.32
13.09,151.32
13.1,151.32
13.11,151.32
13.12,151.32
13.13,151.32
13.14,151.32
13.15,151.32
13.16,149.43
13.17,153.22
13.18,149.43
13.19,153.22
13.2,149.43
13.21,153.22
13.22,149.43
13.23,151.32
13.24,151.32
13.25,151.32
13.26,151.32
13.27,151.32
13.28,151.32
13.29,151.32
13.3,151.32
13.31,151.32
13.32,151.32
13.33,151.32
13.34,151.32
13.35,151.32
13.36,151.32
13.37,151.32
13.38,151.32
13.39,151.32
13.4,151.32
13.41,149.43
13.42,153.22
13.43,149.43
13.44,153.22
13.45,149.43
13.46,151.32
13.47,151.32
13.48,151.32
13.49,153.22
13.5,149.43
13.51,153.22
13.52,149.43
13.53,153.22
13.54,149.43
13.55,153.22
13.56,149.43
13.57,151.32
13.58,151.32
13.59,151.32
13.6,151.32
13.61,151.32
13.62,151.32
13.63,151.32
13.64,151.32
13.65,151.32
13.66,151.32
13.67,151.32
13.68,151.32
13.69,151.32
13.7,151.32
13.71,151.32
13.72,151.32
13.73,151.32
13.74,151.32
13.75,151.32
13.76,151.32
13.77,151.32
13.78,151.32
13.79,151.32
13.8,151.32
13.81,151.32
13.82,151.32
13.83,151.32
13.84,151.32
13.85,151.32
13.86,151.32
13.87,149.43
13.88,153.22
13.89,149.43
13.9,153.22
13.91,149.43
13.92,153.22
13.93,149.43
13.94,153.22
13.95,149.43
13.96,153.22
13.97,149.43
13.98,153.22
13.99,149.43
14,151.32
14.01,153.22
14.02,149.43
14.03,153.22
14.04,149.43
14.05,153.22
14.06,149.43
14.07,153.22
14.08,149.43
14.09,151.32
14.1,151.32
14.11,151.32
14.12,151.32
14.13,151.32
14.14,151.32
14.15,151.32
14.16,149.43
14.17,153.22
14.18,149.43
14.19,153.22
14.2,149.43
14.21,153.22
14.22,149.43
14.23,151.32
14.24,151.32
14.25,151.32
14.26,151.32
14.27,151.32
14.28,151.32
14.29,151.32
14.3,151.32
14.31,151.32
14.32,151.32
14.33,151.32
14.34,151.32
14.35,151.32
14.36,151.32
14.37,151.32
14.38,151.32
14.39,151.32
14.4,151.32
14.41,151.32
14.42,151.32
14.43,151.32
14.44,151.32
14.45,151.32
14.46,151.32
14.47,151.32
14.48,151.32
14.49,151.32
14.5,151.32
14.51,151.32
14.52,149.43
14.53,153.22
14.54,151.32
14.55,149.43
14.56,153.22
14.57,149.43
14.58,151.32
14.59,151.32
14.6,153.22
14.61,149.43
14.62,151.32
14.63,151.32
14.64,151.32
14.65,151.32
14.66,151.32
14.67,151.32
14.68,151.32
14.69,149.43
14.7,153.22
14.71,149.43
14.72,153.22
14.73,149.43
14.74,151.32
14.75,151.32
14.76,151.32
14.77,151.32
14.78,151.32
14.79,151.32
14.8,151.32
14.81,151.32
14.82,151.32
14.83,151.32
14.84,151.32
14.85,151.32
14.86,149.43
14.87,153.22
14.88,149.43
14.89,153.22
14.9,149.43
14.91,153.22
14.92,149.43
14.93,151.32
14.94,151.32
14.95,151.32
14.96,151.32
14.97,151.32
14.98,151.32
14.99,151.32
15,151.32
15.01,151.32
15.02,149.43
15.03,153.22
15.04,149.43
15.05,153.22
15.06,149.43
15.07,151.32
15.08,151.32
15.09,151.32
15.1,151.32
15.11,151.32
15.12,151.32
15.13,151.32
15.14,151.32
15.15,149.43
15.16,153.22
15.17,149.43
15.18,153.22
15.19,149.43
15.2,151.32
15.21,151.32
15.22,151.32
15.23,153.22
15.24,149.43
15.25,151.32
15.26,151.32
15.27,153.22
15.28,149.43
15.29,151.32
15.3,151.32
15.31,149.43
15.32,153.22
15.33,149.43
15.34,151.32
15.35,151.32
15.36,151.32
15.37,151.32
15.38,151.32
15.39,151.32
15.4,149.43
15.41,153.22
15.42,149.43
15.43,151.32
15.44,151.32
15.45,149.43
15.46,153.22
15.47,149.43
15.48,151.32
15.49,151.32
15.5,151.32
15.51,151.32
15.52,151.32
15.53,151.32
15.54,151.32
15.55,151.32
15.56,149.43
15.57,153.22
15.58,149.43
15.59,153.22
15.6,149.43
15.61,151.32
15.62,151.32
15.63,151.32
15.64,151.32
15.65,151.32
15.66,151.32
15.67,151.32
15.68,149.43
15.69,153.22
15.7,149.43
15.71,153.22
15.72,149.43
15.73,151.32
15.74,151.32
15.75,151.32
15.76,151.32
15.77,151.32
15.78,153.22
15.79,149.43
15.8,153.22
15.81,149.43
15.82,151.32
15.83,151.32
15.84,151.32
15.85,151.32
15.86,151.32
15.87,151.32
15.88,151.32
15.89,151.32
15.9,151.32
15.91,151.32
15.92,151.32
15.93,151.32
15.94,151.32
15.95,151.32
15.96,151.32
15.97,151.32
15.98,149.43
15.99,153.22
16,149.43
16.01,151.32
16.02,151.32
16.03,151.32
16.04,151.32
16.05,151.32
16.06,149.43
16.07,153.22
16.08,149.43
16.09,153.22
16.1,149.43
16.11,151.32
16.12,151.32
16.13,151.32
16.14,151.32
16.15,151.32
16.16,151.32
16.17,149.43
16.18,153.22
16.19,149.43
16.2,153.22
16.21,149.43
16.22,153.22
16.23,149.43
16.24,153.22
16.25,149.43
16.26,151.32
16.27,151.32
16.28,151.32
16.29,151.32
16.3,151.32
16.31,151.32
16.32,151.32
16.33,151.32
16.34,151.32
16.35,151.32
16.36,151.32
16.37,151.32
16.38,151.32
16.39,149.43
16.4,153.22
16.41,149.43
16.42,151.32
16.43,151.32
16.44,151.32
16.45,151.32
16.46,151.32
16.47,151.32
16.48,151.32
16.49,151.32
16.5,151.32
16.51,151.32
16.52,151.32
16.53,151.32
16.54,151.32
16.55,151.32
16.56,151.32
16.57,151.32
16.58,151.32
16.59,151.32
16.6,151.32
16.61,151.32
16.62,151.32
16.63,149.43
16.64,153.22
16.65,149.43
16.66,151.32
16.67,151.32
16.68,149.43
16.69,153.22
16.7,149.43
16.71,151.32
16.72,151.32
16.73,151.32
16.74,151.32
16.75,151.32
16.76,151.32
16.77,151.32
16.78,151.32
16.79,151.32
16.8,151.32
16.81,151.32
16.82,151.32
16.83,151.32
16.84,149.43
16.85,153.22
16.86,149.43
16.87,153.22
16.88,149.43
16.89,151.32
16.9,151.32
16.91,151.32
16.92,151.32
16.93,151.32
16.94,151.32
16.95,151.32
16.96,151.32
16.97,151.32
16.98,151.32
16.99,151.32
17,151.32
17.01,151.32
17.02,151.32
17.03,151.32
17.04,149.43
17.05,153.22
17.06,149.43
17.07,153.22
17.08,149.43
17.09,151.32
17.1,151.32
17.11,151.32
17.12,153.22
17.13,149.43
17.14,151.32
17.15,151.32
17.16,151.32
17.17,151.32
17.18,151.32
17.19,149.43
17.2,153.22
17.21,149.43
17.22,151.32
17.23,151.32
17.24,151.32
17.25,151.32
17.26,151.32
17.27,149.43
17.28,153.22
17.29,149.43
17.3,153.22
17.31,149.43
17.32,153.22
17.33,149.43
17.34,153.22
17.35,149.43
17.36,153.22
17.37,149.43
17.38,151.32
17.39,153.22
17.4,149.43
17.41,151.32
17.42,151.32
17.43,151.32
17.44,151.32
17.45,151.32
17.46,151.32
17.47,151.32
17.48,151.32
17.49,151.32
17.5,151.32
17.51,149.43
17.52,153.22
17.53,149.43
17.54,151.32
17.55,151.32
17.56,151.32
17.57,151.32
17.58,151.32
17.59,151.32
17.6,151.32
17.61,151.32
17.62,151.32
17.63,151.32
17.64,151.32
17.65,149.43
17.66,153.22
17.67,151.32
17.68,151.32
17.69,149.43
17.7,153.22
17.71,149.43
17.72,151.32
17.73,151.32
17.74,151.32
17.75,151.32
17.76,151.32
17.77,151.32
17.78,151.32
17.79,151.32
17.8,151.32
17.81,151.32
17.82,151.32
17.83,151.32
17.84,151.32
17.85,151.32
17.86,151.32
17.87,151.32
17.88,151.32
17.89,149.43
17.9,153.22
17.91,149.43
17.92,153.22
17.93,149.43
17.94,151.32
17.95,151.32
17.96,151.32
17.97,151.32
17.98,151.32
17.99,151.32
18,151.32
18.01,151.32
18.02,151.32
18.03,151.32
18.04,151.32
18.05,151.32
18.06,151.32
18.07,151.32
18.08,151.32
18.09,151.32
18.1,151.32
18.11,149.43
18.12,153.22
18.13,149.43
18.14,153.22
18.15,151.32
18.16,151.32
18.17,151.32
18.18,149.43
18.19,153.22
18.2,149.43
18.21,153.22
18.22,149.43
18.23,153.22
18.24,149.43
18.25,153.22
18.26,149.43
18.27,153.22
18.28,149.43
18.29,153.22
18.3,151.32
18.31,149.43
18.32,153.22
18.33,149.43
18.34,153.22
18.35,149.43
18.36,153.22
18.37,149.43
18.38,153.22
18.39,149.43
18.4,153.22
18.41,149.43
18.42,153.22
18.43,149.43
18.44,151.32
18.45,151.32
18.46,151.32
